"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 18:12:51 UTC 2025","passed","Fri Nov 21 18:12:51 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 18:12:51 UTC 2025","passed","Fri Nov 21 18:12:51 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 18:12:51 UTC 2025","passed","Fri Nov 21 18:12:51 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 18:12:51 UTC 2025","passed","Fri Nov 21 18:12:51 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1244","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 18:13:16 UTC 2025","passed","Fri Nov 21 18:13:17 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1442","createValidUser","Surefire suite","Fri Nov 21 18:13:19 UTC 2025","passed","Fri Nov 21 18:13:20 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 18:12:51 UTC 2025","passed","Fri Nov 21 18:12:51 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","0","renameFullName","Surefire suite","Fri Nov 21 18:13:33 UTC 2025","skipped","Fri Nov 21 18:13:33 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","10474","getFullName","Surefire suite","Fri Nov 21 18:13:22 UTC 2025","broken","Fri Nov 21 18:13:32 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1803","createEmptyPasswordTest","Surefire suite","Fri Nov 21 18:13:04 UTC 2025","passed","Fri Nov 21 18:13:06 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","0","getStatusFullName","Surefire suite","Fri Nov 21 18:13:33 UTC 2025","skipped","Fri Nov 21 18:13:33 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","13","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 18:12:51 UTC 2025","passed","Fri Nov 21 18:12:51 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1135","createInvalidUserNameTest","Surefire suite","Fri Nov 21 18:13:13 UTC 2025","passed","Fri Nov 21 18:13:14 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1013","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 18:13:10 UTC 2025","passed","Fri Nov 21 18:13:11 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1074","createInvalidEmailTest","Surefire suite","Fri Nov 21 18:13:08 UTC 2025","passed","Fri Nov 21 18:13:09 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1","renameByDefaultAdminName","Surefire suite","Fri Nov 21 18:13:33 UTC 2025","skipped","Fri Nov 21 18:13:33 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 18:12:51 UTC 2025","passed","Fri Nov 21 18:12:51 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
