"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 21:16:07 UTC 2025","passed","Fri Nov 21 21:16:07 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","992","createValidUser","Surefire suite","Fri Nov 21 21:16:32 UTC 2025","passed","Fri Nov 21 21:16:33 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 21:16:07 UTC 2025","passed","Fri Nov 21 21:16:07 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1084","createInvalidEmailTest","Surefire suite","Fri Nov 21 21:16:23 UTC 2025","passed","Fri Nov 21 21:16:24 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 21:16:07 UTC 2025","passed","Fri Nov 21 21:16:07 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","2","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 21:16:07 UTC 2025","passed","Fri Nov 21 21:16:07 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1224","renameByDefaultAdminName","Surefire suite","Fri Nov 21 21:16:42 UTC 2025","passed","Fri Nov 21 21:16:43 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","2","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 21:16:07 UTC 2025","passed","Fri Nov 21 21:16:07 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 21:16:07 UTC 2025","passed","Fri Nov 21 21:16:07 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","860","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 21:16:30 UTC 2025","passed","Fri Nov 21 21:16:31 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1227","renameFullName","Surefire suite","Fri Nov 21 21:16:37 UTC 2025","passed","Fri Nov 21 21:16:38 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","977","createInvalidUserNameTest","Surefire suite","Fri Nov 21 21:16:27 UTC 2025","passed","Fri Nov 21 21:16:28 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","975","getFullName","Surefire suite","Fri Nov 21 21:16:35 UTC 2025","passed","Fri Nov 21 21:16:36 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1569","createEmptyPasswordTest","Surefire suite","Fri Nov 21 21:16:19 UTC 2025","passed","Fri Nov 21 21:16:21 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","13","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 21:16:07 UTC 2025","passed","Fri Nov 21 21:16:07 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","551","getStatusFullName","Surefire suite","Fri Nov 21 21:16:40 UTC 2025","passed","Fri Nov 21 21:16:40 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","832","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 21:16:25 UTC 2025","passed","Fri Nov 21 21:16:26 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
