"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10457","getFullName","Surefire suite","Fri Nov 21 18:01:57 UTC 2025","broken","Fri Nov 21 18:02:07 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 18:01:28 UTC 2025","passed","Fri Nov 21 18:01:28 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1499","createEmptyPasswordTest","Surefire suite","Fri Nov 21 18:01:40 UTC 2025","passed","Fri Nov 21 18:01:41 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 18:01:28 UTC 2025","passed","Fri Nov 21 18:01:28 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 18:01:28 UTC 2025","passed","Fri Nov 21 18:01:28 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","946","createInvalidUserNameTest","Surefire suite","Fri Nov 21 18:01:48 UTC 2025","passed","Fri Nov 21 18:01:49 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1171","createInvalidEmailTest","Surefire suite","Fri Nov 21 18:01:43 UTC 2025","passed","Fri Nov 21 18:01:44 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 18:01:28 UTC 2025","passed","Fri Nov 21 18:01:28 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 18:01:28 UTC 2025","passed","Fri Nov 21 18:01:28 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","14","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 18:01:28 UTC 2025","passed","Fri Nov 21 18:01:28 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","992","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 18:01:46 UTC 2025","passed","Fri Nov 21 18:01:47 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1030","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 18:01:51 UTC 2025","passed","Fri Nov 21 18:01:52 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1453","createValidUser","Surefire suite","Fri Nov 21 18:01:54 UTC 2025","passed","Fri Nov 21 18:01:55 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 18:01:28 UTC 2025","passed","Fri Nov 21 18:01:28 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","getStatusFullName","Surefire suite","Fri Nov 21 18:02:08 UTC 2025","skipped","Fri Nov 21 18:02:08 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","0","renameFullName","Surefire suite","Fri Nov 21 18:02:08 UTC 2025","skipped","Fri Nov 21 18:02:08 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
