"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","968","getFullName","Surefire suite","Fri Nov 21 22:33:11 UTC 2025","passed","Fri Nov 21 22:33:12 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1678","createEmptyPasswordTest","Surefire suite","Fri Nov 21 22:32:52 UTC 2025","passed","Fri Nov 21 22:32:54 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","628","getStatusFullName","Surefire suite","Fri Nov 21 22:33:16 UTC 2025","passed","Fri Nov 21 22:33:17 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","3","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 22:32:47 UTC 2025","passed","Fri Nov 21 22:32:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 22:32:47 UTC 2025","passed","Fri Nov 21 22:32:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1488","createValidUser","Surefire suite","Fri Nov 21 22:33:08 UTC 2025","passed","Fri Nov 21 22:33:09 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","10383","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 22:33:21 UTC 2025","broken","Fri Nov 21 22:33:32 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","1156","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 22:32:59 UTC 2025","passed","Fri Nov 21 22:33:00 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1248","renameByDefaultAdminName","Surefire suite","Fri Nov 21 22:33:18 UTC 2025","passed","Fri Nov 21 22:33:20 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","13","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 22:32:47 UTC 2025","passed","Fri Nov 21 22:32:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1069","renameFullName","Surefire suite","Fri Nov 21 22:33:14 UTC 2025","passed","Fri Nov 21 22:33:15 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 22:32:47 UTC 2025","passed","Fri Nov 21 22:32:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 22:32:47 UTC 2025","passed","Fri Nov 21 22:32:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1228","createInvalidUserNameTest","Surefire suite","Fri Nov 21 22:33:02 UTC 2025","passed","Fri Nov 21 22:33:03 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","2","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 22:32:47 UTC 2025","passed","Fri Nov 21 22:32:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 22:32:47 UTC 2025","passed","Fri Nov 21 22:32:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1254","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 22:33:05 UTC 2025","passed","Fri Nov 21 22:33:06 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1179","createInvalidEmailTest","Surefire suite","Fri Nov 21 22:32:56 UTC 2025","passed","Fri Nov 21 22:32:57 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
