"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1458","createValidUser","Surefire suite","Fri Nov 21 23:07:52 UTC 2025","passed","Fri Nov 21 23:07:54 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","12","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 23:07:29 UTC 2025","passed","Fri Nov 21 23:07:29 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1051","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 23:07:44 UTC 2025","passed","Fri Nov 21 23:07:45 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 23:07:29 UTC 2025","passed","Fri Nov 21 23:07:29 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 23:07:29 UTC 2025","passed","Fri Nov 21 23:07:29 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1063","createInvalidUserNameTest","Surefire suite","Fri Nov 21 23:07:47 UTC 2025","passed","Fri Nov 21 23:07:48 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","10426","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 23:08:07 UTC 2025","broken","Fri Nov 21 23:08:17 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 23:07:29 UTC 2025","passed","Fri Nov 21 23:07:29 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","675","getStatusFullName","Surefire suite","Fri Nov 21 23:08:02 UTC 2025","passed","Fri Nov 21 23:08:02 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 23:07:29 UTC 2025","passed","Fri Nov 21 23:07:29 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1538","renameFullName","Surefire suite","Fri Nov 21 23:07:58 UTC 2025","passed","Fri Nov 21 23:08:00 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","3","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 23:07:29 UTC 2025","passed","Fri Nov 21 23:07:29 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","2","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 23:07:29 UTC 2025","passed","Fri Nov 21 23:07:29 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1399","renameByDefaultAdminName","Surefire suite","Fri Nov 21 23:08:04 UTC 2025","passed","Fri Nov 21 23:08:05 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","1160","getFullName","Surefire suite","Fri Nov 21 23:07:56 UTC 2025","passed","Fri Nov 21 23:07:57 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1118","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 23:07:49 UTC 2025","passed","Fri Nov 21 23:07:50 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1184","createInvalidEmailTest","Surefire suite","Fri Nov 21 23:07:42 UTC 2025","passed","Fri Nov 21 23:07:43 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1601","createEmptyPasswordTest","Surefire suite","Fri Nov 21 23:07:38 UTC 2025","passed","Fri Nov 21 23:07:40 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
