"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1455","createValidUser","Surefire suite","Fri Nov 21 22:46:14 UTC 2025","passed","Fri Nov 21 22:46:16 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","2","orderMethodsTest","Surefire suite","Fri Nov 21 22:45:49 UTC 2025","passed","Fri Nov 21 22:45:49 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","13","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 22:45:48 UTC 2025","passed","Fri Nov 21 22:45:48 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1184","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 22:46:11 UTC 2025","passed","Fri Nov 21 22:46:13 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 22:45:48 UTC 2025","passed","Fri Nov 21 22:45:48 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","40679","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 22:46:29 UTC 2025","broken","Fri Nov 21 22:47:09 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 22:45:49 UTC 2025","passed","Fri Nov 21 22:45:49 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 22:45:49 UTC 2025","passed","Fri Nov 21 22:45:49 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","672","getStatusFullName","Surefire suite","Fri Nov 21 22:46:24 UTC 2025","passed","Fri Nov 21 22:46:24 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","1540","renameFullName","Surefire suite","Fri Nov 21 22:46:20 UTC 2025","passed","Fri Nov 21 22:46:22 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","949","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 22:46:06 UTC 2025","passed","Fri Nov 21 22:46:07 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 22:45:49 UTC 2025","passed","Fri Nov 21 22:45:49 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1159","createInvalidEmailTest","Surefire suite","Fri Nov 21 22:46:03 UTC 2025","passed","Fri Nov 21 22:46:05 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1044","createInvalidUserNameTest","Surefire suite","Fri Nov 21 22:46:09 UTC 2025","passed","Fri Nov 21 22:46:10 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1115","getFullName","Surefire suite","Fri Nov 21 22:46:18 UTC 2025","passed","Fri Nov 21 22:46:19 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1478","createEmptyPasswordTest","Surefire suite","Fri Nov 21 22:46:00 UTC 2025","passed","Fri Nov 21 22:46:02 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","1343","renameByDefaultAdminName","Surefire suite","Fri Nov 21 22:46:26 UTC 2025","passed","Fri Nov 21 22:46:27 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","2","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 22:45:49 UTC 2025","passed","Fri Nov 21 22:45:49 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
