"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 22:55:34 UTC 2025","passed","Fri Nov 21 22:55:34 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","660","getStatusFullName","Surefire suite","Fri Nov 21 22:56:08 UTC 2025","passed","Fri Nov 21 22:56:09 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","10418","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 22:56:13 UTC 2025","broken","Fri Nov 21 22:56:24 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","950","getFullName","Surefire suite","Fri Nov 21 22:56:02 UTC 2025","passed","Fri Nov 21 22:56:03 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","909","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 22:55:57 UTC 2025","passed","Fri Nov 21 22:55:57 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","2","orderMethodsTest","Surefire suite","Fri Nov 21 22:55:34 UTC 2025","passed","Fri Nov 21 22:55:34 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","2","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 22:55:34 UTC 2025","passed","Fri Nov 21 22:55:34 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1363","renameByDefaultAdminName","Surefire suite","Fri Nov 21 22:56:10 UTC 2025","passed","Fri Nov 21 22:56:12 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","1128","createInvalidEmailTest","Surefire suite","Fri Nov 21 22:55:49 UTC 2025","passed","Fri Nov 21 22:55:50 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 22:55:34 UTC 2025","passed","Fri Nov 21 22:55:34 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","2","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 22:55:34 UTC 2025","passed","Fri Nov 21 22:55:34 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1721","createEmptyPasswordTest","Surefire suite","Fri Nov 21 22:55:45 UTC 2025","passed","Fri Nov 21 22:55:47 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","13","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 22:55:33 UTC 2025","passed","Fri Nov 21 22:55:33 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1318","createValidUser","Surefire suite","Fri Nov 21 22:55:59 UTC 2025","passed","Fri Nov 21 22:56:00 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","1044","createInvalidUserNameTest","Surefire suite","Fri Nov 21 22:55:54 UTC 2025","passed","Fri Nov 21 22:55:55 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1472","renameFullName","Surefire suite","Fri Nov 21 22:56:05 UTC 2025","passed","Fri Nov 21 22:56:06 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","884","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 22:55:52 UTC 2025","passed","Fri Nov 21 22:55:52 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 22:55:34 UTC 2025","passed","Fri Nov 21 22:55:34 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
