"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1082","createInvalidEmailTest","Surefire suite","Fri Nov 21 22:29:31 UTC 2025","passed","Fri Nov 21 22:29:32 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1006","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 22:29:38 UTC 2025","passed","Fri Nov 21 22:29:39 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 22:29:17 UTC 2025","passed","Fri Nov 21 22:29:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 22:29:17 UTC 2025","passed","Fri Nov 21 22:29:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","2","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 22:29:17 UTC 2025","passed","Fri Nov 21 22:29:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","661","getStatusFullName","Surefire suite","Fri Nov 21 22:29:49 UTC 2025","passed","Fri Nov 21 22:29:50 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","1204","createValidUser","Surefire suite","Fri Nov 21 22:29:41 UTC 2025","passed","Fri Nov 21 22:29:42 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","1382","renameFullName","Surefire suite","Fri Nov 21 22:29:46 UTC 2025","passed","Fri Nov 21 22:29:48 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 22:29:17 UTC 2025","passed","Fri Nov 21 22:29:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1385","renameByDefaultAdminName","Surefire suite","Fri Nov 21 22:29:52 UTC 2025","passed","Fri Nov 21 22:29:53 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","12","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 22:29:17 UTC 2025","passed","Fri Nov 21 22:29:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1527","createEmptyPasswordTest","Surefire suite","Fri Nov 21 22:29:27 UTC 2025","passed","Fri Nov 21 22:29:29 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","10437","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 22:29:55 UTC 2025","broken","Fri Nov 21 22:30:05 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 22:29:17 UTC 2025","passed","Fri Nov 21 22:29:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1041","createInvalidUserNameTest","Surefire suite","Fri Nov 21 22:29:36 UTC 2025","passed","Fri Nov 21 22:29:37 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","964","getFullName","Surefire suite","Fri Nov 21 22:29:44 UTC 2025","passed","Fri Nov 21 22:29:45 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","3","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 22:29:17 UTC 2025","passed","Fri Nov 21 22:29:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","963","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 22:29:33 UTC 2025","passed","Fri Nov 21 22:29:34 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
