"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1296","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 17:33:27 UTC 2025","passed","Fri Nov 21 17:33:28 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1","renameFullName","Surefire suite","Fri Nov 21 17:33:43 UTC 2025","skipped","Fri Nov 21 17:33:43 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 17:33:00 UTC 2025","passed","Fri Nov 21 17:33:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1071","createInvalidUserNameTest","Surefire suite","Fri Nov 21 17:33:24 UTC 2025","passed","Fri Nov 21 17:33:25 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 17:33:00 UTC 2025","passed","Fri Nov 21 17:33:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1153","createInvalidEmailTest","Surefire suite","Fri Nov 21 17:33:18 UTC 2025","passed","Fri Nov 21 17:33:19 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1482","createValidUser","Surefire suite","Fri Nov 21 17:33:30 UTC 2025","passed","Fri Nov 21 17:33:31 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","2","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 17:33:00 UTC 2025","passed","Fri Nov 21 17:33:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1024","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 17:33:21 UTC 2025","passed","Fri Nov 21 17:33:22 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 17:33:00 UTC 2025","passed","Fri Nov 21 17:33:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1851","createEmptyPasswordTest","Surefire suite","Fri Nov 21 17:33:14 UTC 2025","passed","Fri Nov 21 17:33:16 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 17:33:00 UTC 2025","passed","Fri Nov 21 17:33:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","13","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 17:33:00 UTC 2025","passed","Fri Nov 21 17:33:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","2","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 17:33:00 UTC 2025","passed","Fri Nov 21 17:33:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","10143","getFullName","Surefire suite","Fri Nov 21 17:33:33 UTC 2025","broken","Fri Nov 21 17:33:43 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","0","getStatusFullName","Surefire suite","Fri Nov 21 17:33:43 UTC 2025","skipped","Fri Nov 21 17:33:43 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
