"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 21:48:47 UTC 2025","passed","Fri Nov 21 21:48:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1031","createInvalidUserNameTest","Surefire suite","Fri Nov 21 21:49:08 UTC 2025","passed","Fri Nov 21 21:49:09 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","15","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 21:48:47 UTC 2025","passed","Fri Nov 21 21:48:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1041","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 21:49:11 UTC 2025","passed","Fri Nov 21 21:49:12 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","654","getStatusFullName","Surefire suite","Fri Nov 21 21:49:22 UTC 2025","passed","Fri Nov 21 21:49:23 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","10550","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 21:49:28 UTC 2025","broken","Fri Nov 21 21:49:38 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","1189","createInvalidEmailTest","Surefire suite","Fri Nov 21 21:49:03 UTC 2025","passed","Fri Nov 21 21:49:04 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 21:48:47 UTC 2025","passed","Fri Nov 21 21:48:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","2","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 21:48:47 UTC 2025","passed","Fri Nov 21 21:48:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 21:48:47 UTC 2025","passed","Fri Nov 21 21:48:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 21:48:47 UTC 2025","passed","Fri Nov 21 21:48:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1032","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 21:49:05 UTC 2025","passed","Fri Nov 21 21:49:06 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","2","orderMethodsTest","Surefire suite","Fri Nov 21 21:48:47 UTC 2025","passed","Fri Nov 21 21:48:47 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1516","renameFullName","Surefire suite","Fri Nov 21 21:49:19 UTC 2025","passed","Fri Nov 21 21:49:20 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","1806","createEmptyPasswordTest","Surefire suite","Fri Nov 21 21:48:59 UTC 2025","passed","Fri Nov 21 21:49:01 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","985","getFullName","Surefire suite","Fri Nov 21 21:49:16 UTC 2025","passed","Fri Nov 21 21:49:17 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1445","renameByDefaultAdminName","Surefire suite","Fri Nov 21 21:49:24 UTC 2025","passed","Fri Nov 21 21:49:26 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","1229","createValidUser","Surefire suite","Fri Nov 21 21:49:13 UTC 2025","passed","Fri Nov 21 21:49:15 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
