"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 28 12:57:00 UTC 2025","passed","Fri Nov 28 12:57:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsTest","Surefire suite","Fri Nov 28 12:57:00 UTC 2025","passed","Fri Nov 28 12:57:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1380","renameFullNameTest","Surefire suite","Fri Nov 28 12:57:50 UTC 2025","passed","Fri Nov 28 12:57:52 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullNameTest"
"","1210","createNotMatchedPasswordTest","Surefire suite","Fri Nov 28 12:57:42 UTC 2025","passed","Fri Nov 28 12:57:44 UTC 2025","danilova.tests.CreateInvalidUserTest","Surefire test","danilova.tests.CreateInvalidUserTest","createNotMatchedPasswordTest"
"","2166","createDuplicateValidUserTest","Surefire suite","Fri Nov 28 12:57:27 UTC 2025","passed","Fri Nov 28 12:57:29 UTC 2025","danilova.tests.CreateInvalidUserTest","Surefire test","danilova.tests.CreateInvalidUserTest","createDuplicateValidUserTest"
"","738","searchAdminUserTest","Surefire suite","Fri Nov 28 12:57:58 UTC 2025","passed","Fri Nov 28 12:57:59 UTC 2025","danilova.tests.SearchUserTest","Surefire test","danilova.tests.SearchUserTest","searchAdminUserTest"
"","2","orderMethodsNoDepTest","Surefire suite","Fri Nov 28 12:57:00 UTC 2025","passed","Fri Nov 28 12:57:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","609","getFullNameStatusPageTest","Surefire suite","Fri Nov 28 12:57:48 UTC 2025","passed","Fri Nov 28 12:57:49 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullNameStatusPageTest"
"","1174","createEmptyPasswordTest","Surefire suite","Fri Nov 28 12:57:30 UTC 2025","passed","Fri Nov 28 12:57:32 UTC 2025","danilova.tests.CreateInvalidUserTest","Surefire test","danilova.tests.CreateInvalidUserTest","createEmptyPasswordTest"
"","1111","getFullNameAccountPageTest","Surefire suite","Fri Nov 28 12:57:45 UTC 2025","passed","Fri Nov 28 12:57:46 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullNameAccountPageTest"
"","15","orderMethodsCycleDepTest","Surefire suite","Fri Nov 28 12:57:00 UTC 2025","passed","Fri Nov 28 12:57:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","2","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 28 12:57:00 UTC 2025","passed","Fri Nov 28 12:57:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","13403","createValidUsersTest","Surefire suite","Fri Nov 28 12:57:10 UTC 2025","passed","Fri Nov 28 12:57:23 UTC 2025","danilova.tests.CreateValidUserTest","Surefire test","danilova.tests.CreateValidUserTest","createValidUsersTest"
"","1228","createInvalidUserNameTest","Surefire suite","Fri Nov 28 12:57:39 UTC 2025","passed","Fri Nov 28 12:57:41 UTC 2025","danilova.tests.CreateInvalidUserTest","Surefire test","danilova.tests.CreateInvalidUserTest","createInvalidUserNameTest"
