"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1007","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 21:59:01 UTC 2025","passed","Fri Nov 21 21:59:02 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1190","createInvalidEmailTest","Surefire suite","Fri Nov 21 21:58:53 UTC 2025","passed","Fri Nov 21 21:58:54 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1274","renameByDefaultAdminName","Surefire suite","Fri Nov 21 21:59:13 UTC 2025","passed","Fri Nov 21 21:59:14 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","482","getStatusFullName","Surefire suite","Fri Nov 21 21:59:11 UTC 2025","passed","Fri Nov 21 21:59:12 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 21:58:44 UTC 2025","passed","Fri Nov 21 21:58:44 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1349","createEmptyPasswordTest","Surefire suite","Fri Nov 21 21:58:50 UTC 2025","passed","Fri Nov 21 21:58:51 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","1079","createInvalidUserNameTest","Surefire suite","Fri Nov 21 21:58:58 UTC 2025","passed","Fri Nov 21 21:58:59 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","0","orderMethodsTest","Surefire suite","Fri Nov 21 21:58:44 UTC 2025","passed","Fri Nov 21 21:58:44 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 21:58:44 UTC 2025","passed","Fri Nov 21 21:58:44 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1242","createValidUser","Surefire suite","Fri Nov 21 21:59:03 UTC 2025","passed","Fri Nov 21 21:59:04 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","1337","renameFullName","Surefire suite","Fri Nov 21 21:59:08 UTC 2025","passed","Fri Nov 21 21:59:10 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","973","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 21:58:55 UTC 2025","passed","Fri Nov 21 21:58:56 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","385","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 21:59:16 UTC 2025","failed","Fri Nov 21 21:59:16 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 21:58:44 UTC 2025","passed","Fri Nov 21 21:58:44 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","912","getFullName","Surefire suite","Fri Nov 21 21:59:06 UTC 2025","passed","Fri Nov 21 21:59:07 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 21:58:44 UTC 2025","passed","Fri Nov 21 21:58:44 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 21:58:44 UTC 2025","passed","Fri Nov 21 21:58:44 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","12","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 21:58:44 UTC 2025","passed","Fri Nov 21 21:58:44 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
