"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1124","createInvalidEmailTest","Surefire suite","Fri Nov 21 23:11:38 UTC 2025","passed","Fri Nov 21 23:11:39 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","2","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 23:11:25 UTC 2025","passed","Fri Nov 21 23:11:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","2","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 23:11:25 UTC 2025","passed","Fri Nov 21 23:11:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","266","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 23:12:03 UTC 2025","broken","Fri Nov 21 23:12:03 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","1225","getFullName","Surefire suite","Fri Nov 21 23:11:52 UTC 2025","passed","Fri Nov 21 23:11:53 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1258","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 23:11:46 UTC 2025","passed","Fri Nov 21 23:11:47 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1424","renameFullName","Surefire suite","Fri Nov 21 23:11:55 UTC 2025","passed","Fri Nov 21 23:11:56 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","2","orderMethodsTest","Surefire suite","Fri Nov 21 23:11:25 UTC 2025","passed","Fri Nov 21 23:11:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 23:11:25 UTC 2025","passed","Fri Nov 21 23:11:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","2","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 23:11:25 UTC 2025","passed","Fri Nov 21 23:11:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","14","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 23:11:25 UTC 2025","passed","Fri Nov 21 23:11:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1235","renameByDefaultAdminName","Surefire suite","Fri Nov 21 23:12:00 UTC 2025","passed","Fri Nov 21 23:12:01 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","845","createInvalidUserNameTest","Surefire suite","Fri Nov 21 23:11:43 UTC 2025","passed","Fri Nov 21 23:11:44 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 23:11:25 UTC 2025","passed","Fri Nov 21 23:11:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1524","createEmptyPasswordTest","Surefire suite","Fri Nov 21 23:11:34 UTC 2025","passed","Fri Nov 21 23:11:36 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","1428","createValidUser","Surefire suite","Fri Nov 21 23:11:49 UTC 2025","passed","Fri Nov 21 23:11:50 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","648","getStatusFullName","Surefire suite","Fri Nov 21 23:11:58 UTC 2025","passed","Fri Nov 21 23:11:59 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","1123","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 23:11:40 UTC 2025","passed","Fri Nov 21 23:11:41 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
