"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1295","renameByDefaultAdminName","Surefire suite","Fri Nov 21 21:53:05 UTC 2025","passed","Fri Nov 21 21:53:06 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","1611","renameFullName","Surefire suite","Fri Nov 21 21:53:00 UTC 2025","passed","Fri Nov 21 21:53:01 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","1070","createInvalidUserNameTest","Surefire suite","Fri Nov 21 21:52:48 UTC 2025","passed","Fri Nov 21 21:52:49 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1627","createEmptyPasswordTest","Surefire suite","Fri Nov 21 21:52:39 UTC 2025","passed","Fri Nov 21 21:52:41 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","2","orderMethodsTest","Surefire suite","Fri Nov 21 21:52:25 UTC 2025","passed","Fri Nov 21 21:52:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","10473","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 21:53:08 UTC 2025","broken","Fri Nov 21 21:53:18 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","2","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 21:52:25 UTC 2025","passed","Fri Nov 21 21:52:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1089","createInvalidEmailTest","Surefire suite","Fri Nov 21 21:52:42 UTC 2025","passed","Fri Nov 21 21:52:43 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","12","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 21:52:25 UTC 2025","passed","Fri Nov 21 21:52:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 21:52:25 UTC 2025","passed","Fri Nov 21 21:52:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1167","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 21:52:51 UTC 2025","passed","Fri Nov 21 21:52:52 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1078","getFullName","Surefire suite","Fri Nov 21 21:52:57 UTC 2025","passed","Fri Nov 21 21:52:58 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","591","getStatusFullName","Surefire suite","Fri Nov 21 21:53:03 UTC 2025","passed","Fri Nov 21 21:53:03 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","1115","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 21:52:45 UTC 2025","passed","Fri Nov 21 21:52:46 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 21:52:25 UTC 2025","passed","Fri Nov 21 21:52:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","2","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 21:52:25 UTC 2025","passed","Fri Nov 21 21:52:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 21:52:25 UTC 2025","passed","Fri Nov 21 21:52:25 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1487","createValidUser","Surefire suite","Fri Nov 21 21:52:54 UTC 2025","passed","Fri Nov 21 21:52:55 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
