"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 22:21:17 UTC 2025","passed","Fri Nov 21 22:21:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","2","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 22:21:17 UTC 2025","passed","Fri Nov 21 22:21:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1292","renameByDefaultAdminName","Surefire suite","Fri Nov 21 22:21:50 UTC 2025","passed","Fri Nov 21 22:21:52 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","10254","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 22:21:53 UTC 2025","broken","Fri Nov 21 22:22:03 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","12","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 22:21:17 UTC 2025","passed","Fri Nov 21 22:21:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1357","renameFullName","Surefire suite","Fri Nov 21 22:21:45 UTC 2025","passed","Fri Nov 21 22:21:47 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 22:21:17 UTC 2025","passed","Fri Nov 21 22:21:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","893","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 22:21:33 UTC 2025","passed","Fri Nov 21 22:21:34 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","490","getStatusFullName","Surefire suite","Fri Nov 21 22:21:48 UTC 2025","passed","Fri Nov 21 22:21:49 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","1106","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 22:21:38 UTC 2025","passed","Fri Nov 21 22:21:39 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1232","createValidUser","Surefire suite","Fri Nov 21 22:21:40 UTC 2025","passed","Fri Nov 21 22:21:42 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 22:21:17 UTC 2025","passed","Fri Nov 21 22:21:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1071","createInvalidUserNameTest","Surefire suite","Fri Nov 21 22:21:35 UTC 2025","passed","Fri Nov 21 22:21:36 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 22:21:17 UTC 2025","passed","Fri Nov 21 22:21:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 22:21:17 UTC 2025","passed","Fri Nov 21 22:21:17 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1483","createEmptyPasswordTest","Surefire suite","Fri Nov 21 22:21:27 UTC 2025","passed","Fri Nov 21 22:21:28 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","1080","createInvalidEmailTest","Surefire suite","Fri Nov 21 22:21:30 UTC 2025","passed","Fri Nov 21 22:21:31 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","706","getFullName","Surefire suite","Fri Nov 21 22:21:43 UTC 2025","passed","Fri Nov 21 22:21:44 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
