"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 22:39:03 UTC 2025","passed","Fri Nov 21 22:39:04 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","3","orderMethodsTest","Surefire suite","Fri Nov 21 22:39:04 UTC 2025","passed","Fri Nov 21 22:39:04 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1267","renameByDefaultAdminName","Surefire suite","Fri Nov 21 22:39:41 UTC 2025","passed","Fri Nov 21 22:39:42 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","1191","renameFullName","Surefire suite","Fri Nov 21 22:39:36 UTC 2025","passed","Fri Nov 21 22:39:37 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","1012","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 22:39:21 UTC 2025","passed","Fri Nov 21 22:39:22 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1676","createEmptyPasswordTest","Surefire suite","Fri Nov 21 22:39:14 UTC 2025","passed","Fri Nov 21 22:39:16 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","1119","getFullName","Surefire suite","Fri Nov 21 22:39:32 UTC 2025","passed","Fri Nov 21 22:39:33 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","2","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 22:39:04 UTC 2025","passed","Fri Nov 21 22:39:04 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1293","createInvalidEmailTest","Surefire suite","Fri Nov 21 22:39:18 UTC 2025","passed","Fri Nov 21 22:39:19 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1221","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 22:39:26 UTC 2025","passed","Fri Nov 21 22:39:27 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1331","createValidUser","Surefire suite","Fri Nov 21 22:39:29 UTC 2025","passed","Fri Nov 21 22:39:31 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","3","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 22:39:04 UTC 2025","passed","Fri Nov 21 22:39:04 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","10357","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 22:39:43 UTC 2025","broken","Fri Nov 21 22:39:54 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","2","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 22:39:04 UTC 2025","passed","Fri Nov 21 22:39:04 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","2","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 22:39:04 UTC 2025","passed","Fri Nov 21 22:39:04 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","3","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 22:39:04 UTC 2025","passed","Fri Nov 21 22:39:04 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1115","createInvalidUserNameTest","Surefire suite","Fri Nov 21 22:39:23 UTC 2025","passed","Fri Nov 21 22:39:24 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","618","getStatusFullName","Surefire suite","Fri Nov 21 22:39:38 UTC 2025","passed","Fri Nov 21 22:39:39 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
