"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 21:41:26 UTC 2025","passed","Fri Nov 21 21:41:26 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","2","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 21:41:26 UTC 2025","passed","Fri Nov 21 21:41:26 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","977","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 21:41:43 UTC 2025","passed","Fri Nov 21 21:41:44 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1018","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 21:41:48 UTC 2025","passed","Fri Nov 21 21:41:49 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","2","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 21:41:26 UTC 2025","passed","Fri Nov 21 21:41:26 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1088","createInvalidUserNameTest","Surefire suite","Fri Nov 21 21:41:46 UTC 2025","passed","Fri Nov 21 21:41:47 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1148","createInvalidEmailTest","Surefire suite","Fri Nov 21 21:41:40 UTC 2025","passed","Fri Nov 21 21:41:42 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1236","renameFullName","Surefire suite","Fri Nov 21 21:41:56 UTC 2025","passed","Fri Nov 21 21:41:57 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","13","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 21:41:26 UTC 2025","passed","Fri Nov 21 21:41:26 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","886","getFullName","Surefire suite","Fri Nov 21 21:41:53 UTC 2025","passed","Fri Nov 21 21:41:54 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 21:41:26 UTC 2025","passed","Fri Nov 21 21:41:26 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1368","createEmptyPasswordTest","Surefire suite","Fri Nov 21 21:41:37 UTC 2025","passed","Fri Nov 21 21:41:39 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","10388","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 21:42:03 UTC 2025","broken","Fri Nov 21 21:42:14 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","1278","renameByDefaultAdminName","Surefire suite","Fri Nov 21 21:42:01 UTC 2025","passed","Fri Nov 21 21:42:02 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","579","getStatusFullName","Surefire suite","Fri Nov 21 21:41:59 UTC 2025","passed","Fri Nov 21 21:41:59 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 21:41:26 UTC 2025","passed","Fri Nov 21 21:41:26 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1226","createValidUser","Surefire suite","Fri Nov 21 21:41:51 UTC 2025","passed","Fri Nov 21 21:41:52 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 21:41:26 UTC 2025","passed","Fri Nov 21 21:41:26 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
