"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1122","createInvalidUserNameTest","Surefire suite","Fri Nov 21 17:27:07 UTC 2025","passed","Fri Nov 21 17:27:08 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","935","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 17:27:05 UTC 2025","passed","Fri Nov 21 17:27:06 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 17:26:50 UTC 2025","passed","Fri Nov 21 17:26:50 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","1","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 17:26:50 UTC 2025","passed","Fri Nov 21 17:26:50 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1","orderMethodsTest","Surefire suite","Fri Nov 21 17:26:50 UTC 2025","passed","Fri Nov 21 17:26:50 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","0","renameFullName","Surefire suite","Fri Nov 21 17:27:27 UTC 2025","skipped","Fri Nov 21 17:27:27 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 17:26:50 UTC 2025","passed","Fri Nov 21 17:26:50 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","10455","getFullName","Surefire suite","Fri Nov 21 17:27:17 UTC 2025","broken","Fri Nov 21 17:27:27 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1152","createInvalidEmailTest","Surefire suite","Fri Nov 21 17:27:02 UTC 2025","passed","Fri Nov 21 17:27:03 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","2","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 17:26:50 UTC 2025","passed","Fri Nov 21 17:26:50 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","getStatusFullName","Surefire suite","Fri Nov 21 17:27:27 UTC 2025","skipped","Fri Nov 21 17:27:27 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","2","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 17:26:50 UTC 2025","passed","Fri Nov 21 17:26:50 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1135","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 17:27:10 UTC 2025","passed","Fri Nov 21 17:27:11 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
"","1631","createEmptyPasswordTest","Surefire suite","Fri Nov 21 17:26:59 UTC 2025","passed","Fri Nov 21 17:27:00 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","13","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 17:26:50 UTC 2025","passed","Fri Nov 21 17:26:50 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1481","createValidUser","Surefire suite","Fri Nov 21 17:27:13 UTC 2025","passed","Fri Nov 21 17:27:15 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
